pip,peep,driving_pressure,p_auc,decay_rate,decay_half_time,exp_concavity,tau_exp,rise_time,rise_slope,insp_auc,exp_auc,ie_auc_ratio,p_at_half_insp,p_mean,p_std,p_skewness,p_kurtosis,p_rms,zero_cross_rate,label
25.03,-0.01,25.040000000000003,114.16499999999999,-2.7564999999999986,3.0,0.33587662337662355,3.042512592092106,6.0,4.173333333333334,37.295,76.87,0.48516976713932614,0.07,7.6560000000000015,7.572227149260645,0.8114854198788852,-0.37275328669559693,10.768145615657321,0.13333333333333333,Obstructive
25.75,0.25,25.5,116.74999999999999,-3.319166666666666,3.0,0.3156547619047618,2.687920162807042,6.0,4.25,39.15,77.6,0.5045103092783505,-0.02,8.395714285714286,8.261017504162647,0.7013664149976954,-0.7377165283531153,11.778473100170013,0.14285714285714285,Obstructive
24.72,0.11,24.61,113.76499999999999,-2.1407142857142833,2.0,0.4189285714285718,5.65193825548448,6.0,4.101666666666667,34.595,79.16999999999999,0.43697107490210946,0.49,8.29857142857143,7.112366350381624,0.6476386628611245,-0.20730219884927736,10.929411825763674,0.14285714285714285,Obstructive
24.99,0.67,24.319999999999997,125.76999999999998,-2.4423333333333317,3.0,0.40476190476190455,4.582828526537007,6.0,4.053333333333333,39.400000000000006,86.36999999999999,0.4561769132800742,0.01,8.543333333333331,7.659432238894879,0.7670487468268966,-0.5097366676398485,11.474120736102906,0.13333333333333333,Obstructive
25.29,1.1,24.189999999999998,128.05,-2.2445000000000004,3.0,0.34760822510822476,5.289457747523072,6.0,4.031666666666666,37.135,90.91499999999999,0.40845845020073696,0.32,8.741999999999999,7.297909472353482,0.6830682267651473,-0.40023673508801716,11.387802538974174,0.13333333333333333,Obstructive
24.85,1.31,23.540000000000003,131.485,-2.1509999999999994,2.0,0.3842424242424241,5.549185144891159,6.0,3.923333333333334,41.58,89.905,0.462488181969857,0.31,8.962666666666667,7.38317318110731,0.6997472940496545,-0.44765798098650045,11.612090251113276,0.13333333333333333,Obstructive
24.09,1.08,23.009999999999998,123.025,-2.885666666666664,4.0,0.2583549783549781,3.15479880210823,6.0,3.8349999999999995,35.735,87.29,0.4093825180433039,0.38,8.296000000000001,7.870173060358964,0.7615684696476257,-0.7188434842058702,11.435175556151293,0.13333333333333333,Obstructive
25.83,0.14,25.689999999999998,122.82000000000001,-2.9020238095238065,2.0,0.4955357142857145,3.0471158346192917,7.0,3.6699999999999995,58.275,64.545,0.9028584708343016,6.33,8.259333333333334,8.160954573795614,0.8942824339065544,-0.2863734418085029,11.61110531631966,0.13333333333333333,Obstructive
22.3,0.44,21.86,115.875,-2.9053571428571408,3.0,0.27065476190476184,2.30573174700057,7.0,3.1228571428571428,54.28999999999999,61.584999999999994,0.8815458309653325,4.41,7.761333333333335,7.803040319146263,0.6457147862750972,-1.0002041646864226,11.005713667606173,0.13333333333333333,Obstructive
25.51,0.05,25.46,115.62499999999999,-2.971785714285712,2.0,0.46684523809523837,2.417110435091656,7.0,3.6371428571428575,54.91,60.715,0.9043893601251749,2.67,7.725333333333334,8.34192772818263,0.9459832555041029,-0.31897049342515604,11.36963206675279,0.13333333333333333,Obstructive
